AlgaeBloomReportID,UpdatedOn,CreatedOn,RegionalBoardID,CountyID,Latitude,Longitude,ObservationDate,HasPostedSigns,HasContactWithWater,WaterBodyType,WaterBodyName,WaterBodyManager,RecLandManager,IsIncidentResoloved,IncidentInformation,TypeofSign,OfficialWaterBodyName,BloomLastVerifiedOn,BloomDeterminedBy,ApprovedforPost
1414,,2016-04-30 20:08:38,5,4,39.753166 ,-121.78790,2016-04-24,No,No,Lake,Upper California Park Lake,Home Owner's Association,Home Owner's Association,Yes,"Spread out through the entire body of water, but especially thick towards the shore. Closures posted by Butte County Environmental Health in July.",Closed,California Park Lake,2016-04-30,Observation,True
1415,2016-09-09 00:00:00,2016-06-06 10:42:27,5,39,38.018501 ,-121.80568,2016-06-02,Yes,No,River,San Joaquin River (Stockton Deep Water Ship Channel),Port of Stockton Commission,Port of Stockton Commission,No,"In June the presence of cyanobacteria was reported in the San Joaquin River (Stockton Deep Water Ship Channel) from Antioch to Stockton. No monitoring was conducted but San Joaquin County Public Health Services issued a media release alerting the public. Signs were posted at marinas and public access areas to warn recreational users of the health hazards and to urge them to avoid contact with the cyanobacteria. For more information on this cyanobacteria bloom, contact San Joaquin County Public Health Services at (209) 468-3455.",Caution,San Joaquin River (Stockton Deep Water Ship Channel),2016-09-09,Observation,True
1416,2016-09-09 00:00:00,2016-07-12 10:20:05,5,45,40.822311 ,-122.02478,2016-07-05,Yes,No,Lake,Shasta Lake/Pit River Arm,Unknown,"USDA Service Center, Forest Service Shasta-Trinity National Forest 530-226-2500",No,"In August a cyanobacteria bloom was reported occurring in the Pit River arm of Lake Shasta.  Low concentrations of the toxin, Anatoxin-a, were found and routine monitoring was conducted by the Central Valley Regional Water Quality Control Board (Redding Office). 
For more information on this cyanobacteria bloom event, contact Clint Snyder or Bryan Smith at (530) 224-4845.",Caution,Shasta Lake,2016-09-09,Analytical,True
1417,2016-10-12 00:00:00,2016-07-14 09:03:27,4,19,34.662758 ,-118.76556,2016-07-06,No,No,Lake,Pyramid Lake,Department of Water Resources,Department of Water Resources,Yes,"Green Clusters near Vaquero Swim Beach near shore. Species identified as Microcystis sp., Woronichinia naegeliana, Dolichospermum Sp. (Anabaena).",None,Pyramid Lake,2016-09-26,Analytical,True
1418,2016-09-09 00:00:00,2016-07-18 17:55:39,5,7,37.9016022,-121.62036,2016-07-15,No,No,Man-made bay in delta,Discovery Bay,Town of Discovery Bay,Town of Discovery Bay & CCEHD,No,"In July the Contra Costa County Health Services Department responded to multiple citizen complaints of cyanobacteria in Discovery Bay. Sampling indicated the presence of harmful cyanobacteria and the presence of the toxin, microcystin, which triggered the posting of Caution and Danger signs at multiple locations. The Health Services Department is continuing to monitor the bloom and collecting water samples as necessary. Results from the monitoring are posted online and include an algae map, which can be found on the Health Services website. In addition, 7,000 mailers were sent to bay front property owners and renters.  Residents and members of the public are encouraged to visit the website for continual updates. Website link: http://cchealth.org/eh/blue-green-algae.php",Warning,Discovery Bay,2016-07-15,Observation,True
1420,2016-09-09 00:00:00,2016-07-28 10:39:14,5,45,41.02986  ,-121.64647,2016-07-22,No,No,Lake,Lake Britton,PG&E,PG&E,No,"In July a cyanobacteria bloom was reported occurring in Lake Britton and the Pit River. Low concentrations of the toxin, Anatoxin-a, were found and routine monitoring was conducted by Pacific Gas and Electric Company. Low concentrations are still being found but the bloom is subsiding and water quality conditions are improving. The advisory will be lifted and caution signs removed once the toxin is no longer detected. For more information on this cyanobacteria bloom event, contact Paul Moreno at (530) 896-4290.",None,Lake Britton,2016-09-09,Observation,True
1421,,2016-07-28 10:46:11,5,17,39.0235   ,-122.77924,2016-06-19,No,No,Lake,Clear Lake,LakeBed Management,Lake County/Private,No,Map point is an estimation and might not reflect exact location of bloom(s). Ongoing bloom in parts of Clear Lake. Contact local officials for updates on which parts of the lake are affected.,None,Clear Lake,2016-07-28,Observation,True
1422,2016-09-09 00:00:00,2016-07-28 10:48:51,5,4,39.557213 ,-121.41005,2016-07-26,No,No,Lake,Lake Oroville,Department of Water Resources,Department of Water Resources,Yes,"In July a cyanobacteria bloom was reported occurring in the upper portion of the Middle Fork Feather River arm of Lake Oroville. The bloom occurred in a small, remote location of the lake.  The Department of Water Resources conducted monitoring and worked with California State Parks staff to notify park visitors and post caution signs at downstream recreational areas.  Monitoring conducted over the past three weeks found no detections of cyanotoxins. A visual check of the bloom area showed no signs of the bloom, indicating it has subsided. With the absence of toxins in the water, caution signs were removed. Water Resources and State Parks staffs are partnering to continue routine monitoring of the area.
For more information on this cyanobacteria bloom event, contact Eric See of the Department of Water Resources, Oroville Field Division, at (530) 534-2324.",None,Lake Oroville,2016-07-28,Observation,True
1423,2017-03-14 00:00:00,2016-03-04 11:19:45,2,1,37.572387 ,-122.00109,2016-03-04,Yes,No,Lake,Quarry Lakes,East Bay Regional Parks,East Bay Regional Parks,Yes,"12/08/2016 UPDATE: No postings, a small amount of Microcystin and Dolichospermum-type colonies near the boat launch. No microcystins detected.

6/25/2016 UPDATE: Quary lakes are re-opened to swimming

3/4/2016: Closed to swimming and posted",Closed to Swimming,Quarry Lakes,2016-12-08,Observation,True
1424,2017-08-31 00:00:00,2016-04-28 00:00:00,2,1,37.597211 ,-121.72118,2016-04-28,Yes,No,Lake,Lake Del Valle,East Bay Parks,East Bay Parks,Yes,"Bloom observed at lake, signs posted to avoid swimming. After several weeks of no visual observations and no toxins detected, re-opened to swimming. Avoid contact with algae and algae-like substances and rinse off after water contact (humans and pets).",For current sign see 2017 bloom #1525,Lake del Valle,2016-12-08,Analytical,True
1425,2017-04-11 00:00:00,2016-06-01 00:00:00,2,1,37.6684618,-121.84425,2016-06-01,Yes,No,River,Arroyo Del Valle,East Bay Regional Parks District,East Bay Regional Parks District,Yes,"UPDATE 9/1/2016: East Bay Regional Parks District removed signs because no visual indicators.
Blue green algae identified, precautionary sign posted to avoid contact with algae and rinse off  both humans and their canines  after water contact (swimming is allowed)",For current sign see 2017 bloom #1639,Arroyo Del Valle in Shadow Cliffs Regional Park,2016-07-01,"Observation, Analytical",True
1426,2016-12-08 00:00:00,2016-07-28 11:32:35,2,1,37.896029 ,-122.25034,2016-05-20,Yes,No,Lake,Lake Anza,East Bay Regional Parks District,East Bay Regional Parks District,Yes,"UPDATE: 12/29/16 No visible cyanobacteria since early December and no toxins detected since November, so signage removed.

UPDATE: 12/08/2016 Lake Anza remains closed to swimming due to cyanotoxin levels. It is closed now for the season!

UPDATE: 11/18/2016 Lake Anza remains closed to swimming due to cyanotoxin levels

UPDATE: 09/23/2016
The Lake remains closed to swimming although the bloom appears to be receding. There is still presence of toxins in high enough levels to keep it closed.

Blue green algae identified, precautionary sign posted to avoid contact with algae and rinse off  both humans and their canines  after water contact (swimming is allowed)

Posted caution signs. 6/17/16: caution sign. 7/1/16: caution signs. 7/8/16: caution signs. 7/29/16: caution sign

UPDATE: 11-18-2016 Lake Anza remains closed to swimming due to cyanotoxin levels",Closed to swimming,Lake Anza,2016-12-29,Observation,True
1427,2016-12-08 00:00:00,2016-08-05 00:00:00,2,1,37.726948 ,-122.11221,2016-08-05,No,No,Lake,Lake Chabot,East Bay Regional Parks District,East Bay Regional Parks District,Yes,"UPDATE 12/29/2016: Cyanobacteria still visible all over the lake. Closing out this (#1427) report for 2016, and initiating a new report (#1522) for 2017 since bloom crosses calendar years. 

UPDATE 12/08/2016: The cyanobacteria is getting worse all over Lake Chabot this week. In the Marina, a Microcystis-type colony continues to be the primary cyanobacteria. 

UPDATE 09/01/2016: Bloom observed in cove area and conditions were improving",None,Lake Chabot (Alameda Co),2016-12-08,Observation,True
1428,2016-09-19 00:00:00,2016-07-28 11:40:29,8,33,33.651146 ,-117.33189,2016-07-20,No,No,Lake,Lake Elsinore,Unknown,City of Lake Elsinore,No,Bloom observed and sampled at middle of lake as well as scum from the dockside. Lab results indicated presence of cyanobacteria in both areas.,Closed,Lake Elsinore,2016-09-12,Analytical,True
1429,2016-12-08 00:00:00,2016-07-28 12:34:59,5,24,37.072892 ,-121.13813,2016-07-26,No,No,Reservoir,San Luis Reservoir,Department of Water Resources and Bureau of Reclamation,DWR and BOR,No,"12/08/2016 UPDATE: Microcystins measured at Pacheco Pumping Plant and Basalt Boat Launch were below Caution trigger levels. Signs have been removed.

UPDATE: 11/14/2016 Microcystins measured at Basalt Boat Launch were at 7.68ppb. The recreational health advisory has been upgraded to Tier I Warning.

UPDATE: In July the Department of Water Resources found the toxin, microcystin, above the states trigger thresholds in the San Luis Reservoir and ONeill Forebay. In response, California State Parks staff, which manages recreation at the sites, posted danger signs at the reservoir and caution signs at the Forebay. Conditions have improved slightly in the reservoir but have been variable in the forebay. For current posting information the public should contact Water Resources Public Affairs Representative Doug Carlson at (916) 653-5114, or Ted Thomas at (916) 653-9712.",Caution,San Luis Reservoir,2016-11-28,Analytical,True
1430,2016-09-20 00:00:00,2016-07-28 12:40:39,5,24,37.069512 ,-121.06711,2016-07-11,No,No,Reservoir,O'Neill Forebay,Department of Water Resources and Bureau of Reclamation,California State Parks,Yes,"In July the Department of Water Resources found the toxin, microcystin, above the states trigger thresholds in the San Luis Reservoir and ONeill Forebay. In response, California State Parks staff, which manages recreation at the sites, posted danger signs at the reservoir and caution signs at the Forebay. Conditions have improved slightly in the reservoir but have been variable in the forebay. For current posting information the public should contact Water Resources Public Affairs Representative Doug Carlson at (916) 653-5114, or Ted Thomas at (916) 653-9712.",None,O'Neill Forebay,2016-09-09,Analytical,True
1440,2016-12-08 00:00:00,2016-08-01 10:34:03,2,1,37.846563 ,-122.23053,2016-06-28,Yes,No,Lake,Lake Temescal,East Bay Parks,East Bay Parks,Yes,"UPDATE: 12/08/2016 Lake Temescal is closed to swimming for the season. No visible cyanobacteria.

UPDATE: 11/18/2016 Lake Temescal remains closed to swimming due to cyanotoxin levels 

Bloom Observed 06/08/2016. Updates show ongoing blooms throughout July. 

UPDATE: 09/29/2016 - new development of colonies, continuing monitoring.",Closed to Swimming for the season,Lake Temescal,2016-12-08,Observation,True
1441,,2016-08-02 10:17:16,3,44,36.9502299,-121.76606,2016-08-02,No,No,Lake,Pinto Lake,,City of Watsonville,No,"Tends to start some time in the spring, and (usually) shifts  in the late summer, peaking in around October-November. Signs are always present  at the lake, and visitors receive handouts",Caution,Pinto Lake,2016-08-02,Analytical,True
1442,,2016-08-02 13:31:07,3,44,36.9641173,-122.01246,2015-09-15,Yes,No,River Lagoon,San Lorenzo River lagoon,City of Santa Cruz,City of Santa Cruz,No,Bloom observed throughout lagoon.,Advisory,San Lorenzo River Lagoon,2015-11-01,Observation,True
1443,2016-07-15 00:00:00,2016-08-02 14:20:35,3,44,36.9397603,-121.73538,2016-07-15,Yes,No,Lake,Kelly Lake,Private,Private,No,Ongoing Microcystis bloom.,Advisory,Kelly Lake,2016-08-02,Analytical,True
1444,2016-09-20 00:00:00,2016-08-04 10:36:15,6,36,34.285733 ,-117.34536,2016-07-25,No,No,Lake,Silverwood Lake,"Department of Water Resources, State Water Project",Department of Water Resources,Yes,Bloom at Silverwood lake at the Silverwood Lake Outlet and Cleghorn Cove. Samples sent to laboratory and reported at non-detectable levels as of 09/06/2016,None,Silverwood Lake,2016-09-06,Observation,True
1445,2016-09-09 00:00:00,2016-08-05 15:52:50,5,18,40.283725 ,-121.02456,2016-08-05,No,No,Reservoir,Mountain Meadows Reservoir,PG&E,PG&E,No,"In August a cyanobacteria bloom was reported occurring in the Mountain Meadows Reservoir.  Monitoring conducted over the past three weeks by Pacific Gas and Electric Company has found no detection of cyanotoxins, so caution signs were removed and the advisory lifted. For more information on this cyanobacteria bloom event, contact Paul Moreno at (530) 896-4290.",None,Mountain Meadows Reservoir,2016-09-09,Observation,True
1446,2016-09-19 00:00:00,2016-08-08 07:29:43,8,33,33.6870414,-117.27260,2016-08-01,No,No,Lake,Canyon Lake,,Canyon Lake POA,Yes,Lake has been reopened based on water quality samples having been collected and analyzed by the lake managers.,None,Canyon Lake,2016-09-12,Analytical,True
1449,2016-09-09 00:00:00,2016-08-10 15:10:11,5,15,35.648032 ,-118.41637,2016-08-10,No,No,Lake,Isabella Lake,"Kern County Water Master, USACOE, CDFW, USFWS, USFS","Kern County Water Master, USACOE, CADFW, USFWS, USFS",No,"In August cyanobacteria blooms were reported occurring in Kissack Cove at Isabella Lake, and in the Kern River at the Keyesville Recreation Area and Calloway Weir. The Central Valley Regional Water Quality Control Board, along with the Kern County Public Health Services Department, conducted sampling at these sites. The toxin, microcystin was found at two sites along Isabella Lake in Kissack Cove and Paradise Cove. Warning signs were posted. Toxin concentrations in the Kern River were below method detection limits. However, caution is still being urged in the Kern River site near the Calloway Weir due to a report of an animal illness and human illness. It is unknown whether these illnesses were related to cyanobacteria, so the public is being urged to limit body contact recreation in this area. For more information on these cyanobacteria blooms, contact the Kern County Public Health Services Department at (661) 321-3000.",Warning,Isabella Lake,2016-08-10,Analytical,True
1458,2016-09-09 00:00:00,2016-08-16 09:49:32,5,15,35.63894  ,-118.48448,2016-08-03,No,No,River,Kern River,Unknown,Unknown,No,"In August cyanobacteria blooms were reported occurring in Kissack Cove at Isabella Lake, and in the Kern River at the Keyesville Recreation Area and Calloway Weir. The Central Valley Regional Water Quality Control Board, along with the Kern County Public Health Services Department, conducted sampling at these sites. The toxin, microcystin was found at two sites along Isabella Lake in Kissack Cove and Paradise Cove. Warning signs were posted. Toxin concentrations in the Kern River were below method detection limits. However, caution is still being urged in the Kern River site near the Calloway Weir due to a report of an animal illness and human illness. It is unknown whether these illnesses were related to cyanobacteria, so the public is being urged to limit body contact recreation in this area. For more information on these cyanobacteria blooms, contact the Kern County Public Health Services Department at (661) 321-3000.",Caution,Kern River,2016-09-09,Analytical,True
1460,2016-12-08 00:00:00,2016-08-17 08:56:17,5,7,38.0123861,-121.72869,2016-07-25,No,No,River,Big Break Regional Shoreline in the Delta,East Bay Regional Park District,East Bay Regional Park District,Yes,"Website link: http://www.ebparks.org/features/Toxic_Algae_Update 
12/08/2016 UPDATE: There is a swirling pattern of scum on the water at the Big Break kayak launch. Microcystis-type cyanobacteria seen, but no toxins detected with field test strip kit

08/29/2016 UPDATE: Sampling conducted during Aug. 22 and Aug. 29 found microcystin levels above 50 ppb at the kayak launch area. Signs have been posted prohibiting body contact recreation. Dogs not allowed in the water or along the shoreline.
 
7/25/2016: Since June the East Bay Regional Park District has been conducting routine monitoring of the surface water at the Big Break Regional Shoreline located in the Delta in Contra Costa County.  In late July, cyanobacteria colonies along with mats and scum were observed near the kayak launch area.  Low concentrations of microcystin detected.",None,Big Break Regional Shoreline,2016-12-08,Analytical,True
1463,2016-09-02 00:00:00,2016-09-12 10:06:12.030000,5,45,40.777897 ,-122.21091,2016-08-09,Yes,No,Lake,Squaw Arm of Shasta Lake,Unknown,"USDA Service Center, Forest Service Shasta-Trinity National Forest 530-226-2500",No,"In August a cyanobacteria bloom was reported occurring in the Pit River arm of Lake Shasta.  Low concentrations of the toxin, Anatoxin-a, were found and routine monitoring was conducted by the Central Valley Regional Water Quality Control Board (Redding Office). The bloom was sampled and verified at several areas throughout Shasta Lake including the Sqauw Arm.
For more information on this cyanobacteria bloom event, contact Clint Snyder or Bryan Smith at (530) 224-4845.",Caution,Shasta Lake - Squaw Arm,2016-09-02,Analytical,True
1464,2016-09-02 00:00:00,2016-09-12 10:08:48.463000,5,45,40.75585  ,-122.24727,2016-08-09,No,No,Lake,Siverthorn Area of Shasta Lake,Unknown,"USDA Service Center, Forest Service Shasta-Trinity National Forest 530-226-2500",No,"In August a cyanobacteria bloom was reported occurring in the Pit River arm of Lake Shasta.  Low concentrations of the toxin, Anatoxin-a, were found and routine monitoring was conducted by the Central Valley Regional Water Quality Control Board (Redding Office). The bloom was sampled and verified at several areas throughout Shasta Lake including Silverthorn.
For more information on this cyanobacteria bloom event, contact Clint Snyder or Bryan Smith at (530) 224-4845.",Caution,Shasta Lake - Silverthorn,2016-09-02,Analytical,True
1465,2016-09-02 00:00:00,2016-09-12 10:10:44.543000,5,45,40.736056 ,-122.22351,2016-08-09,No,No,Lake,Jones Valley area of Shasta Lake,Unknown,"USDA Service Center, Forest Service Shasta-Trinity National Forest 530-226-2500",No,"In August a cyanobacteria bloom was reported occurring in the Pit River arm of Lake Shasta.  Low concentrations of the toxin, Anatoxin-a, were found and routine monitoring was conducted by the Central Valley Regional Water Quality Control Board (Redding Office). The bloom was sampled and verified at several areas throughout Shasta Lake including Jones Valley.
For more information on this cyanobacteria bloom event, contact Clint Snyder or Bryan Smith at (530) 224-4845.",Caution,Shasta Lake - Jones Valley,2016-09-02,Analytical,True
1466,2016-09-02 00:00:00,2016-09-12 10:14:34.450000,5,45,40.794513 ,-122.29453,2016-08-24,No,No,Lake,Holiday Harbor area of Shasta Lake,Unknown,"USDA Service Center, Forest Service Shasta-Trinity National Forest 530-226-2500",No,"In August a cyanobacteria bloom was reported occurring in the Pit River arm of Lake Shasta.  Low concentrations of the toxin, Anatoxin-a, were found and routine monitoring was conducted by the Central Valley Regional Water Quality Control Board (Redding Office). The bloom was sampled and verified at several areas throughout Shasta Lake including the Holiday Harbor.
For more information on this cyanobacteria bloom event, contact Clint Snyder or Bryan Smith at (530) 224-4845.",Caution,Shasta Lake - Holiday Harbor,2016-09-02,Analytical,True
1467,2016-09-02 00:00:00,2016-09-12 10:16:37.700000,5,45,40.858    ,-122.25   ,2016-08-24,No,No,Lake,McCloud Arm,Unknown,"USDA Service Center, Forest Service Shasta-Trinity National Forest 530-226-2500",No,"In August a cyanobacteria bloom was reported occurring in the Pit River arm of Lake Shasta.  Low concentrations of the toxin, Anatoxin-a, were found and routine monitoring was conducted by the Central Valley Regional Water Quality Control Board (Redding Office). The bloom was sampled and verified at several areas throughout Shasta Lake including the McCloud Arm.
For more information on this cyanobacteria bloom event, contact Clint Snyder or Bryan Smith at (530) 224-4845.",Caution,Shasta Lake - McCloud Arm,2016-09-02,Analytical,True
1468,2016-09-02 00:00:00,2016-09-12 10:18:47.313000,5,45,40.76192  ,-122.32378,2016-08-24,No,No,Lake,Bridge Bay Area of Shasta Lake,Unknown,"USDA Service Center, Forest Service Shasta-Trinity National Forest 530-226-2500",No,"In August a cyanobacteria bloom was reported occurring in the Pit River arm of Lake Shasta.  Low concentrations of the toxin, Anatoxin-a, were found and routine monitoring was conducted by the Central Valley Regional Water Quality Control Board (Redding Office). The bloom was sampled and verified at several areas throughout Shasta Lake including Bridge Bay.
For more information on this cyanobacteria bloom event, contact Clint Snyder or Bryan Smith at (530) 224-4845.",Caution,Shasta Lake - Bridge Bay,2016-09-02,Analytical,True
1469,2016-09-02 00:00:00,2016-09-12 10:20:54.847000,5,45,40.732668 ,-122.40150,2016-08-24,No,No,Lake,Digger Bay Area of Shasta Lake,Unknown,"USDA Service Center, Forest Service Shasta-Trinity National Forest 530-226-2500",No,"In August a cyanobacteria bloom was reported occurring in the Pit River arm of Lake Shasta.  Low concentrations of the toxin, Anatoxin-a, were found and routine monitoring was conducted by the Central Valley Regional Water Quality Control Board (Redding Office). Samples were taken at multiple locations where blooms were present, including Digger Bay. 
For more information on this cyanobacteria bloom event, contact Clint Snyder or Bryan Smith at (530) 224-4845.",Caution,Shasta Lake - Digger Bay,2016-09-02,Analytical,True
1470,2016-09-02 00:00:00,2016-09-12 10:22:45.723000,5,45,40.773263 ,-122.37706,2016-08-24,No,No,Lake,Sacramento Arm of Shasta Lake,unknown,"USDA Service Center, Forest Service Shasta-Trinity National Forest 530-226-2500",No,"In August a cyanobacteria bloom was reported occurring in the Pit River arm of Lake Shasta.  Low concentrations of the toxin, Anatoxin-a, were found and routine monitoring was conducted by the Central Valley Regional Water Quality Control Board (Redding Office). A revised news release has been prepared and is available here.
For more information on this cyanobacteria bloom event, contact Clint Snyder or Bryan Smith at (530) 224-4845.",Caution,Shasta Lake - Sacramento Arm,2016-09-02,Analytical,True
1471,2016-08-24 00:00:00,2016-09-12 10:24:29.740000,5,45,40.809776 ,-122.37115,2016-08-24,No,No,Lake,O'Brien area of Shasta Lake,"USDA Service Center, Forest Service Shasta-Trinity National Forest 530-226-2500",,No,"In August a cyanobacteria bloom was reported occurring in the Pit River arm of Lake Shasta.  Low concentrations of the toxin, Anatoxin-a, were found and routine monitoring was conducted by the Central Valley Regional Water Quality Control Board (Redding Office). A revised news release has been prepared and is available here.
For more information on this cyanobacteria bloom event, contact Clint Snyder or Bryan Smith at (530) 224-4845.",Caution,Shasta Lake - O'Brien area,2016-08-24,Analytical,True
1472,2016-08-24 00:00:00,2016-09-12 10:25:52.147000,5,45,40.881943 ,-122.37732,2016-08-24,No,No,Lake,Antlers area of Shasta Lake,,"USDA Service Center, Forest Service Shasta-Trinity National Forest 530-226-2500",No,"In August a cyanobacteria bloom was reported occurring in the Pit River arm of Lake Shasta.  Low concentrations of the toxin, Anatoxin-a, were found and routine monitoring was conducted by the Central Valley Regional Water Quality Control Board (Redding Office). A revised news release has been prepared and is available here.
For more information on this cyanobacteria bloom event, contact Clint Snyder or Bryan Smith at (530) 224-4845.",Caution,Shasta Lake - Antlers Area,2016-08-24,Analytical,True
1473,2016-09-13 00:00:00,2016-09-14 08:48:18.587000,6,14,36.5621847,-118.05562,2016-09-01,Yes,No,Lake,Diaz Lake,LADWP,Inyo County,No,Concerned citizen reported the bloom to the Regional Water Quality Control Board and LADWP. Advisory was posted and samples were taken and sent to laboratory for analysis.,Caution,Diaz Lake,2016-09-13,Analytical,True
1474,2016-09-02 00:00:00,2016-09-14 08:52:31.987000,6,14,37.378984 ,-118.49262,2016-09-01,Yes,No,Lake,Millpond,Unknown,Unknown,No,"Bloom Observed at Millpond, Samples taken and sent to lab for analysis.",Caution,Millpond,2016-09-02,Analytical,True
1476,,2016-09-20 12:54:17.180000,5,39,37.85822  ,-121.56839,2016-09-14,No,No,River,Old River (Kings Island) - River,Department of Water Resources,Unknown,No,Bloom was not dense but visible in the water column surrounding the island's private dock areas. Samples were collected by DWR and sent to the lab for analysis.,None,Old River (Kings Island),2016-09-20,Observation,True
1477,,2016-09-20 13:05:01.507000,5,39,37.80983  ,-121.55994,2016-09-14,Yes,No,River,Old River (Rivers End Marina) - River,Department of Water Resources,Unknown,No,Bloom observed. Samples taken by DWR and sent to laboratory for analysis. County environmental health posted caution signs.,Caution,Old River (Rivers End Marina),2016-09-20,Observation,True
1478,,2016-09-20 13:12:22.360000,5,39,37.81686  ,-121.55701,2016-09-14,No,No,River,Old River at the Delta Mendota Canal Intake - River,Department of Water Resources,Unknown,No,Bloom observed by DWR and Regional Water Board staff. Samples were collected and sent to the lab for analysis.,None,Old River at the Delta Mendota Canal Intake,2016-09-20,Observation,True
1479,,2016-09-20 13:20:30.593000,5,39,37.81092  ,-121.54536,2016-09-14,No,No,River,Old River (ODM site) - River,Department of Water Resources,Unknown,No,Bloom observed. Samples were taken by DWR and sent to the lab for analysis.,None,Old River (ODM Site),2016-09-20,Observation,True
1480,,2016-09-20 13:29:14.637000,5,39,37.79494  ,-121.51991,2016-09-14,No,Yes,River,Old River Upstream of Mountain House) site ORM - River,Department of Water Resources,Unknown,No,Bloom is located downstream of the CDEC site ORM (Old River upstream of Mountain House). Green specks and flakes on water surface and in water column. Samples were taken by DWR and sent to the lab for analysis,None,Old River (Upstream of Mountain House) site ORM,2016-09-20,Observation,True
1481,,2016-09-20 13:36:33.313000,5,39,37.80263  ,-121.45738,2016-09-14,No,No,River,Tracy Wildlife Area (Site TWA) on Old River - River,DWR,Unknown,No,"Green water, spilled paint look, lots of surface scum mixed in with water hyacinth. Samples collected by DWR and sent to the lab for analysis",None,Old River - Tracy Wildlife Area (Site TWA),2016-09-20,Observation,True
1482,,2016-09-20 13:46:25.377000,5,39,37.81502  ,-121.42519,2016-09-14,No,No,Riveree,Old River at Doughty Cut (Site name DGL) - River,Department of Water Resources,Unknown,No,Green flecks in water column and on surface. Samples taken by DWR and sent to lab for analysis,None,Old River at Doughty Cut (Site name DGL),2016-09-20,Observation,True
1483,,2016-09-20 14:01:19.430000,5,39,37.81929  ,-121.46058,2016-09-14,Yes,No,River,Grant Line Canal (Tracy Oasis Marina-off dock site) - River,Department of Water Resources,Unknown,No,Green water; surface scum in areas between the docks; some areas look like green spilled paint; marina operator noted bloom started in late July early August. San Joaquin County Environmental Health Department posted caution signs at site to alert marina visitors of the presence of cyanobacteria in the water. Samples collected and sent to the lab for analysis.,Caution,Grant Line Canal (Tracy Oasis Marina-off dock site),2016-09-20,Observation,True
1484,,2016-09-20 15:26:46.943000,5,39,37.81969  ,-121.54513,2016-09-14,No,No,River,Grant Line Canal (Site GLC) - River,Department of Water Resources,Unknown,No,Green water with small colonies of some kind of algae suspended on the surface; bloom was patchy and streaky with green scum on surface; in subsurface water had even distribution of unidentified algae,None,Grant Line Canal (Site GLC),2016-09-20,Observation,True
1485,,2016-09-20 15:34:12.017000,5,39,37.82024  ,-121.46621,2016-09-14,No,No,River,Grant Line Canal (Supplementary Site),Department of Water Resources,Unknown,No,Supplementary site for observing bloom in Grant Line Canal. Samples were taken by DWR and given to the Regional Water Board for analysis,None,Grant Line Canal,2016-09-20,Observation,True
1486,,2016-09-20 15:43:10.637000,5,39,37.81911  ,-121.51217,2016-09-14,No,No,River,Fabian Canal Site along Grant Line Canal Supplementary Phyto 2 - River,Department of Water Resources,Unknown,No,The long stretch of Grant Line Canal between the Grant Line Canal Barrier and Old River and the Fabian Tract area. Samples taken identified presence of Microcystis sp.,None,Fabian Canal Site along Grant Line Canal,2016-09-20,Observation,True
1487,,2016-09-20 15:50:50.100000,5,39,37.83017  ,-121.55357,2016-09-14,No,No,River,Old River at Clifton Court Forebay Intake,Department of Water Resources,Unknown,No,cyanobacteria not as concentrated on this part of Old River.  Approximately the top 3 inches appeared equally distributed. Samples taken by DWR and sent to Regional Water Board for identification.,None,Old River at Clifton Court Forebay Intake,2016-09-20,Observation,True
1488,,2016-09-20 15:57:21.750000,5,39,37.81411  ,-121.55080,2016-09-14,No,No,River,Old River Downstream of ODM site (Supplementary),Department of Water Resources,Unknown,No,Site located in a 5 mph zone next to a small community downstream of the ODM site. Samples taken by DWR and sent to laboratory for analysis.,None,Old River Downstream of ODM site,2016-09-20,Observation,True
